,end_date,variable,value,smooth,noise,ci_top,ci_bot
82,2019-07-28,tpp_lnp,53.0,52.23456790123457,0.7654320987654302,55.57335504587992,48.89578075658922
81,2019-08-18,tpp_lnp,51.0,51.5,-0.5,54.83878714464535,48.16121285535465
80,2019-09-07,tpp_lnp,51.0,51.07142857142857,-0.0714285714285694,54.41021571607392,47.73264142678322
79,2019-09-29,tpp_lnp,51.0,50.964285714285715,0.0357142857142847,54.30307285893107,47.625498569640364
78,2019-10-20,tpp_lnp,51.0,50.75892857142857,0.2410714285714306,54.09771571607392,47.42014142678322
77,2019-11-10,tpp_lnp,50.0,50.58928571428572,-0.5892857142857224,53.928072858931074,47.25049856964037
76,2019-11-23,tpp_lnp,51.0,50.92857142857143,0.0714285714285694,54.26735857321678,47.58978428392608
75,2019-12-08,tpp_lnp,52.0,50.82142857142857,1.1785714285714306,54.16021571607392,47.48264142678322
74,2020-01-11,tpp_lnp,49.0,49.55357142857142,-0.5535714285714235,52.892358573216775,46.21478428392607
73,2020-02-01,tpp_lnp,48.0,48.660714285714285,-0.6607142857142847,51.999501430359636,45.32192714106893
72,2020-02-22,tpp_lnp,49.0,48.830357142857146,0.1696428571428541,52.1691442875025,45.491569998211794
71,2020-03-14,tpp_lnp,49.0,49.48214285714286,-0.4821428571428612,52.82093000178821,46.14335571249751
70,2020-04-03,tpp_lnp,51.0,50.22321428571428,0.7767857142857224,53.56200143035963,46.884427141068926
69,2020-04-25,tpp_lnp,50.0,50.60267857142857,-0.6026785714285694,53.94146571607392,47.26389142678322
68,2020-04-26,tpp_lnp,51.5,50.98214285714286,0.5178571428571388,54.32093000178821,47.64335571249751
67,2020-05-16,tpp_lnp,51.0,50.941964285714285,0.0580357142857153,54.280751430359636,47.60317714106893
66,2020-06-06,tpp_lnp,51.0,49.91071428571429,1.0892857142857082,53.24950143035964,46.57192714106894
65,2020-06-08,tpp_lnp,47.0,48.14285714285714,-1.1428571428571388,51.48164428750249,44.80406999821179
64,2020-06-15,tpp_lnp,47.0,47.38392857142858,-0.3839285714285765,50.72271571607393,44.045141426783225
62,2020-06-22,tpp_lnp,48.0,47.37500000000001,0.6249999999999929,50.71378714464536,44.036212855354655
60,2020-06-29,tpp_lnp,47.0,46.973214285714285,0.0267857142857153,50.312001430359636,43.63442714106893
59,2020-07-13,tpp_lnp,45.0,47.75,-2.75,51.08878714464535,44.41121285535465
58,2020-07-18,tpp_lnp,53.0,50.40625,2.59375,53.74503714464535,47.06746285535465
57,2020-07-19,tpp_lnp,51.5,51.15625,0.34375,54.49503714464535,47.81746285535465
63,2020-07-21,tpp_lnp,50.5,49.52232142857142,0.9776785714285765,52.861108573216775,46.18353428392607
56,2020-07-26,tpp_lnp,45.0,48.25446428571429,-3.254464285714292,51.59325143035964,44.91567714106894
61,2020-07-27,tpp_lnp,51.0,49.598214285714285,1.4017857142857153,52.937001430359636,46.25942714106893
55,2020-08-08,tpp_lnp,52.0,50.13392857142858,1.8660714285714235,53.47271571607393,46.795141426783225
54,2020-08-10,tpp_lnp,46.0,49.58928571428571,-3.589285714285708,52.92807285893106,46.25049856964036
53,2020-08-16,tpp_lnp,54.0,50.16964285714285,3.830357142857153,53.5084300017882,46.830855712497495
52,2020-08-24,tpp_lnp,47.0,49.30357142857143,-2.3035714285714306,52.64235857321678,45.96478428392608
