,end_date,variable,value,smooth,noise,ci_top,ci_bot
58,2019-06-23,scomo_sat,48.0,48.148148148148145,-0.14814814814814525,51.839852582119526,44.456443714176764
57,2019-07-21,scomo_sat,48.0,48.75,-0.75,52.44170443397138,45.05829556602862
56,2019-07-28,scomo_sat,51.0,49.339285714285715,1.6607142857142847,53.0309901482571,45.647581280314334
55,2019-08-18,scomo_sat,48.0,48.75892857142857,-0.7589285714285694,52.45063300539995,45.06722413745719
54,2019-08-22,scomo_sat,48.0,48.38392857142857,-0.3839285714285694,52.07563300539995,44.69222413745719
53,2019-09-07,scomo_sat,49.0,48.65178571428571,0.3482142857142918,52.34349014825709,44.96008128031433
52,2019-09-17,scomo_sat,49.0,48.410714285714285,0.5892857142857153,52.102418719685666,44.7190098517429
51,2019-09-29,scomo_sat,47.0,47.55357142857142,-0.5535714285714235,51.245275862542805,43.86186699460004
50,2019-10-15,scomo_sat,47.0,47.035714285714285,-0.0357142857142847,50.727418719685666,43.3440098517429
49,2019-10-20,scomo_sat,47.0,46.68750000000001,0.3124999999999929,50.37920443397139,42.995795566028626
48,2019-11-10,scomo_sat,46.0,45.92857142857143,0.0714285714285694,49.62027586254281,42.23686699460005
47,2019-11-12,scomo_sat,45.0,44.830357142857146,0.1696428571428541,48.52206157682853,41.138652708885765
46,2019-11-23,scomo_sat,43.0,44.142857142857146,-1.142857142857146,47.83456157682853,40.451152708885765
44,2019-12-08,scomo_sat,45.0,43.4375,1.5625,47.12920443397138,39.74579556602862
45,2019-12-08,scomo_sat,45.0,44.339285714285715,0.6607142857142847,48.0309901482571,40.647581280314334
42,2020-01-11,scomo_sat,40.0,40.55357142857143,-0.5535714285714306,44.24527586254281,36.86186699460005
43,2020-01-11,scomo_sat,37.0,38.080357142857146,-1.080357142857146,41.77206157682853,34.388652708885765
41,2020-02-01,scomo_sat,37.0,37.625,-0.625,41.31670443397138,33.93329556602862
40,2020-02-11,scomo_sat,39.0,38.276785714285715,0.7232142857142847,41.9684901482571,34.585081280314334
39,2020-02-22,scomo_sat,38.0,39.03571428571428,-1.0357142857142776,42.72741871968566,35.344009851742896
38,2020-03-11,scomo_sat,41.0,40.91964285714286,0.0803571428571388,44.61134729111424,37.22793842317148
37,2020-03-14,scomo_sat,41.0,46.357142857142854,-5.357142857142854,50.048847291114235,42.66543842317147
36,2020-04-03,scomo_sat,61.0,55.232142857142854,5.767857142857146,58.923847291114235,51.54043842317147
35,2020-04-05,scomo_sat,59.0,61.18749999999999,-2.187499999999993,64.87920443397138,57.49579556602861
34,2020-04-25,scomo_sat,68.0,64.54464285714286,3.455357142857139,68.23634729111424,60.85293842317148
33,2020-05-05,scomo_sat,64.0,65.30357142857142,-1.3035714285714164,68.9952758625428,61.611866994600035
32,2020-05-16,scomo_sat,66.0,65.34821428571428,0.6517857142857224,69.03991871968566,61.656509851742896
31,2020-06-02,scomo_sat,65.0,65.55357142857143,-0.5535714285714306,69.24527586254281,61.86186699460005
30,2020-06-06,scomo_sat,66.0,66.13392857142857,-0.1339285714285694,69.82563300539995,62.44222413745719
29,2020-06-27,scomo_sat,68.0,66.20535714285714,1.7946428571428612,69.89706157682852,62.51365270888576
28,2020-07-12,scomo_sat,63.0,65.69642857142857,-2.6964285714285694,69.38813300539995,62.00472413745719
27,2020-07-18,scomo_sat,68.0,66.72321428571428,1.2767857142857224,70.41491871968566,63.031509851742896
26,2020-08-08,scomo_sat,68.0,67.19642857142857,0.8035714285714306,70.88813300539995,63.50472413745719
25,2020-08-09,scomo_sat,66.0,66.03571428571429,-0.035714285714291805,69.72741871968567,62.34400985174291
24,2020-08-29,scomo_sat,64.0,64.90178571428572,-0.9017857142857224,68.5934901482571,61.21008128031434
23,2020-09-19,scomo_sat,65.0,64.75892857142857,0.2410714285714306,68.45063300539995,61.06722413745719
22,2020-10-10,scomo_sat,65.0,64.75892857142857,0.2410714285714306,68.45063300539995,61.06722413745719
21,2020-11-06,scomo_sat,64.0,64.6875,-0.6875,68.37920443397138,60.99579556602862
20,2020-11-28,scomo_sat,66.0,64.41071428571428,1.5892857142857224,68.10241871968566,60.719009851742896
19,2020-12-01,scomo_sat,62.0,63.348214285714285,-1.3482142857142847,67.03991871968567,59.6565098517429
18,2021-01-30,scomo_sat,63.0,63.07142857142857,-0.0714285714285694,66.76313300539995,59.37972413745719
17,2021-02-20,scomo_sat,64.0,62.88392857142857,1.1160714285714306,66.57563300539995,59.19222413745719
16,2021-03-13,scomo_sat,62.0,60.651785714285715,1.3482142857142847,64.3434901482571,56.960081280314334
14,2021-03-27,scomo_sat,55.00000000000001,57.455357142857146,-2.455357142857139,61.14706157682853,53.763652708885765
15,2021-03-30,scomo_sat,56.99999999999999,56.04464285714285,0.9553571428571459,59.73634729111423,52.352938423171466
13,2021-04-12,scomo_sat,54.0,56.107142857142854,-2.107142857142854,59.798847291114235,52.41543842317147
12,2021-04-24,scomo_sat,59.0,57.303571428571416,1.6964285714285836,60.9952758625428,53.611866994600035
11,2021-05-15,scomo_sat,57.99999999999999,57.098214285714285,0.9017857142857082,60.789918719685666,53.4065098517429
10,2021-06-05,scomo_sat,54.0,55.65178571428571,-1.6517857142857082,59.34349014825709,51.96008128031433
9,2021-06-08,scomo_sat,56.99999999999999,54.07142857142857,2.9285714285714235,57.76313300539995,50.37972413745719
8,2021-06-13,scomo_sat,48.0,52.17857142857142,-4.1785714285714235,55.870275862542805,48.48686699460004
7,2021-06-26,scomo_sat,55.00000000000001,52.27678571428572,2.7232142857142847,55.968490148257104,48.58508128031434
6,2021-07-06,scomo_sat,51.0,51.642857142857146,-0.6428571428571459,55.33456157682853,47.951152708885765
5,2021-07-17,scomo_sat,51.0,49.55357142857143,1.4464285714285694,53.24527586254281,45.86186699460005
4,2021-07-17,scomo_sat,45.0,47.285714285714285,-2.2857142857142847,50.977418719685666,43.5940098517429
3,2021-08-07,scomo_sat,47.0,47.107142857142854,-0.1071428571428541,50.798847291114235,43.41543842317147
2,2021-08-28,scomo_sat,49.0,47.61607142857143,1.3839285714285694,51.30777586254281,43.92436699460005
1,2021-09-18,scomo_sat,46.0,47.28703703703703,-1.287037037037031,50.97874147100841,43.59533260306565
0,2021-10-02,scomo_sat,48.0,47.382716049382715,0.6172839506172849,51.074420483354096,43.691011615411334
