,end_date,variable,value,smooth,noise,ci_top,ci_bot
123,2019-06-23,aa_r,25.0,25.62962962962963,-0.6296296296296298,30.072087541304803,21.187171717954456
122,2019-07-21,aa_r,26.0,27.148148148148145,-1.1481481481481453,31.59060605982332,22.70569023647297
121,2019-07-28,aa_r,31.0,29.23214285714286,1.7678571428571388,33.67460076881803,24.789684945467688
120,2019-08-18,aa_r,30.0,29.366071428571434,0.6339285714285658,33.80852934024661,24.92361351689626
119,2019-08-22,aa_r,28.000000000000004,27.383928571428573,0.6160714285714306,31.826386483103747,22.9414706597534
118,2019-09-01,aa_r,23.0,25.732142857142858,-2.7321428571428577,30.17460076881803,21.289684945467684
117,2019-09-07,aa_r,28.000000000000004,26.178571428571434,1.8214285714285694,30.621029340246608,21.73611351689626
116,2019-09-17,aa_r,25.0,27.205357142857146,-2.205357142857146,31.64781505453232,22.762899231181972
115,2019-09-29,aa_r,31.0,28.758928571428577,2.2410714285714235,33.20138648310375,24.316470659753403
114,2019-10-15,aa_r,28.000000000000004,29.72321428571429,-1.7232142857142847,34.16567219738946,25.280756374039115
113,2019-10-20,aa_r,32.0,30.85714285714286,1.1428571428571388,35.29960076881803,26.414684945467688
112,2019-11-10,aa_r,32.0,30.999999999999996,1.0000000000000036,35.44245791167517,26.557542088324823
111,2019-11-12,aa_r,28.000000000000004,30.89814814814815,-2.8981481481481453,35.34060605982332,26.455690236472975
110,2019-11-23,aa_r,35.0,32.588235294117645,2.411764705882355,37.030693205792815,28.14577738244247
109,2019-12-08,aa_r,34.0,36.05882352941177,-2.058823529411768,40.50128144108694,31.616365617736594
108,2019-12-08,aa_r,,34.37096774193548,,38.81342565361065,29.928509830260307
106,2020-01-11,aa_r,39.0,38.898148148148145,0.10185185185185475,43.340606059823315,34.455690236472975
107,2020-01-11,aa_r,43.0,41.46428571428571,1.5357142857142918,45.90674362596088,37.02182780261054
105,2020-02-01,aa_r,43.0,41.098214285714285,1.9017857142857153,45.540672197389455,36.655756374039115
104,2020-02-11,aa_r,36.0,39.107142857142854,-3.107142857142854,43.549600768818024,34.664684945467684
103,2020-02-22,aa_r,41.0,38.3125,2.6875,42.75495791167517,33.87004208832483
102,2020-03-11,aa_r,35.0,36.99107142857143,-1.9910714285714306,41.4335293402466,32.54861351689626
101,2020-03-14,aa_r,38.0,34.82142857142857,3.1785714285714306,39.26388648310374,30.378970659753396
100,2020-04-03,aa_r,28.999999999999996,30.86607142857143,-1.8660714285714342,35.3085293402466,26.423613516896257
99,2020-04-05,aa_r,27.0,28.044642857142858,-1.0446428571428577,32.48710076881803,23.602184945467684
98,2020-04-25,aa_r,28.000000000000004,27.107142857142858,0.8928571428571459,31.54960076881803,22.664684945467684
97,2020-05-05,aa_r,25.0,26.687499999999996,-1.6874999999999964,31.12995791167517,22.245042088324823
