index,date,ContractArea,value
550,2019-11-01,Sydney Metro Bus Contract 8,1651730
551,2019-12-01,Sydney Metro Bus Contract 8,1488179
552,2020-01-01,Sydney Metro Bus Contract 8,1488702
553,2020-02-01,Sydney Metro Bus Contract 8,1475627
554,2020-03-01,Sydney Metro Bus Contract 8,1058527
555,2020-04-01,Sydney Metro Bus Contract 8,313731
556,2020-05-01,Sydney Metro Bus Contract 8,436868
557,2020-06-01,Sydney Metro Bus Contract 8,591423
558,2020-07-01,Sydney Metro Bus Contract 8,685070
559,2020-08-01,Sydney Metro Bus Contract 8,637229
560,2020-09-01,Sydney Metro Bus Contract 8,668988
561,2020-10-01,Sydney Metro Bus Contract 8,705436
562,2020-11-01,Sydney Metro Bus Contract 8,721824
563,2020-12-01,Sydney Metro Bus Contract 8,608992
564,2021-01-01,Sydney Metro Bus Contract 8,610539
565,2021-02-01,Sydney Metro Bus Contract 8,737550
566,2021-03-01,Sydney Metro Bus Contract 8,832583
567,2021-04-01,Sydney Metro Bus Contract 8,802010
568,2021-05-01,Sydney Metro Bus Contract 8,821213
569,2021-06-01,Sydney Metro Bus Contract 8,682283
570,2021-07-01,Sydney Metro Bus Contract 8,268074
571,2021-08-01,Sydney Metro Bus Contract 8,249568
572,2018-01-01,Sydney Metro Bus Contract 9,4470938
573,2018-02-01,Sydney Metro Bus Contract 9,4418599
574,2018-03-01,Sydney Metro Bus Contract 9,4975155
575,2018-04-01,Sydney Metro Bus Contract 9,4443395
576,2018-05-01,Sydney Metro Bus Contract 9,4450372
577,2018-06-01,Sydney Metro Bus Contract 9,3857967
578,2018-07-01,Sydney Metro Bus Contract 9,3784091
579,2018-08-01,Sydney Metro Bus Contract 9,3996848
580,2018-09-01,Sydney Metro Bus Contract 9,3780960
581,2018-10-01,Sydney Metro Bus Contract 9,4230417
582,2018-11-01,Sydney Metro Bus Contract 9,4348716
583,2018-12-01,Sydney Metro Bus Contract 9,3961022
584,2019-01-01,Sydney Metro Bus Contract 9,4181004
585,2019-02-01,Sydney Metro Bus Contract 9,4248036
586,2019-03-01,Sydney Metro Bus Contract 9,4591950
587,2019-04-01,Sydney Metro Bus Contract 9,4091112
588,2019-05-01,Sydney Metro Bus Contract 9,4326318
589,2019-06-01,Sydney Metro Bus Contract 9,3864717
590,2019-07-01,Sydney Metro Bus Contract 9,4166386
591,2019-08-01,Sydney Metro Bus Contract 9,4133906
592,2019-09-01,Sydney Metro Bus Contract 9,4086108
593,2019-10-01,Sydney Metro Bus Contract 9,4106302
594,2019-11-01,Sydney Metro Bus Contract 9,3895240
595,2019-12-01,Sydney Metro Bus Contract 9,3355591
596,2020-01-01,Sydney Metro Bus Contract 9,3184074
597,2020-02-01,Sydney Metro Bus Contract 9,3093501
598,2020-03-01,Sydney Metro Bus Contract 9,2210555
599,2020-04-01,Sydney Metro Bus Contract 9,641267
600,2020-05-01,Sydney Metro Bus Contract 9,902275
601,2020-06-01,Sydney Metro Bus Contract 9,1145046
602,2020-07-01,Sydney Metro Bus Contract 9,1297532
603,2020-08-01,Sydney Metro Bus Contract 9,1226714
604,2020-09-01,Sydney Metro Bus Contract 9,1265147
605,2020-10-01,Sydney Metro Bus Contract 9,1297803
606,2020-11-01,Sydney Metro Bus Contract 9,1336848
607,2020-12-01,Sydney Metro Bus Contract 9,1263990
608,2021-01-01,Sydney Metro Bus Contract 9,1161005
609,2021-02-01,Sydney Metro Bus Contract 9,1214372
610,2021-03-01,Sydney Metro Bus Contract 9,1345300
611,2021-04-01,Sydney Metro Bus Contract 9,1270683
612,2021-05-01,Sydney Metro Bus Contract 9,1296976
613,2021-06-01,Sydney Metro Bus Contract 9,1043552
614,2021-07-01,Sydney Metro Bus Contract 9,435914
615,2021-08-01,Sydney Metro Bus Contract 9,420645
