,date,name,value
135,2021-07-10,Canterbury-Bankstown (A),12
136,2021-07-10,Cumberland (A),5
137,2021-07-10,Fairfield (C),59
138,2021-07-10,Georges River (A),3
139,2021-07-10,Liverpool (C),3
140,2021-07-11,Blacktown (C),2
141,2021-07-11,Canterbury-Bankstown (A),10
142,2021-07-11,Cumberland (A),2
143,2021-07-11,Fairfield (C),74
144,2021-07-11,Georges River (A),2
145,2021-07-11,Liverpool (C),8
146,2021-07-11,Parramatta (C),3
147,2021-07-12,Blacktown (C),1
148,2021-07-12,Canterbury-Bankstown (A),8
149,2021-07-12,Fairfield (C),38
150,2021-07-12,Georges River (A),2
151,2021-07-12,Liverpool (C),1
152,2021-07-12,Parramatta (C),1
153,2021-07-13,Blacktown (C),1
154,2021-07-13,Canterbury-Bankstown (A),14
155,2021-07-13,Cumberland (A),3
156,2021-07-13,Fairfield (C),48
157,2021-07-13,Georges River (A),4
158,2021-07-13,Liverpool (C),7
159,2021-07-14,Blacktown (C),3
160,2021-07-14,Canterbury-Bankstown (A),5
161,2021-07-14,Cumberland (A),1
162,2021-07-14,Fairfield (C),41
163,2021-07-14,Georges River (A),5
164,2021-07-14,Liverpool (C),7
165,2021-07-15,Blacktown (C),5
166,2021-07-15,Campbelltown (C) (NSW),1
167,2021-07-15,Canterbury-Bankstown (A),7
168,2021-07-15,Cumberland (A),8
169,2021-07-15,Fairfield (C),55
170,2021-07-15,Georges River (A),2
171,2021-07-15,Liverpool (C),9
172,2021-07-15,Parramatta (C),2
173,2021-07-16,Blacktown (C),4
174,2021-07-16,Campbelltown (C) (NSW),1
175,2021-07-16,Canterbury-Bankstown (A),14
176,2021-07-16,Cumberland (A),7
177,2021-07-16,Fairfield (C),59
178,2021-07-16,Georges River (A),1
179,2021-07-16,Liverpool (C),13
180,2021-07-16,Parramatta (C),1
181,2021-07-17,Blacktown (C),3
182,2021-07-17,Canterbury-Bankstown (A),9
183,2021-07-17,Cumberland (A),6
184,2021-07-17,Fairfield (C),63
185,2021-07-17,Georges River (A),3
186,2021-07-17,Liverpool (C),2
187,2021-07-18,Blacktown (C),2
188,2021-07-18,Canterbury-Bankstown (A),12
189,2021-07-18,Cumberland (A),11
190,2021-07-18,Fairfield (C),49
191,2021-07-18,Georges River (A),3
192,2021-07-18,Liverpool (C),20
193,2021-07-18,Parramatta (C),1
194,2021-07-19,Blacktown (C),5
195,2021-07-19,Campbelltown (C) (NSW),1
196,2021-07-19,Canterbury-Bankstown (A),11
197,2021-07-19,Cumberland (A),5
198,2021-07-19,Fairfield (C),27
199,2021-07-19,Georges River (A),3
200,2021-07-19,Liverpool (C),4
201,2021-07-19,Parramatta (C),3
202,2021-07-20,Blacktown (C),5
203,2021-07-20,Canterbury-Bankstown (A),18
204,2021-07-20,Cumberland (A),22
205,2021-07-20,Fairfield (C),33
206,2021-07-20,Georges River (A),3
207,2021-07-20,Liverpool (C),5
208,2021-07-20,Parramatta (C),6
209,2021-07-21,Blacktown (C),12
210,2021-07-21,Campbelltown (C) (NSW),1
211,2021-07-21,Canterbury-Bankstown (A),31
212,2021-07-21,Cumberland (A),22
213,2021-07-21,Fairfield (C),40
214,2021-07-21,Georges River (A),7
215,2021-07-21,Liverpool (C),12
216,2021-07-21,Parramatta (C),4
217,2021-07-22,Blacktown (C),9
218,2021-07-22,Campbelltown (C) (NSW),5
219,2021-07-22,Canterbury-Bankstown (A),29
220,2021-07-22,Cumberland (A),16
221,2021-07-22,Fairfield (C),29
222,2021-07-22,Georges River (A),10
223,2021-07-22,Liverpool (C),14
224,2021-07-22,Parramatta (C),10
225,2021-07-23,Blacktown (C),20
226,2021-07-23,Campbelltown (C) (NSW),2
227,2021-07-23,Canterbury-Bankstown (A),30
228,2021-07-23,Cumberland (A),28
229,2021-07-23,Fairfield (C),37
230,2021-07-23,Georges River (A),6
231,2021-07-23,Liverpool (C),7
232,2021-07-23,Parramatta (C),2
233,2021-07-24,Blacktown (C),13
234,2021-07-24,Campbelltown (C) (NSW),2
235,2021-07-24,Canterbury-Bankstown (A),35
236,2021-07-24,Cumberland (A),22
237,2021-07-24,Fairfield (C),32
238,2021-07-24,Georges River (A),3
239,2021-07-24,Liverpool (C),13
240,2021-07-24,Parramatta (C),4
241,2021-07-25,Blacktown (C),8
242,2021-07-25,Campbelltown (C) (NSW),6
243,2021-07-25,Canterbury-Bankstown (A),49
244,2021-07-25,Cumberland (A),32
245,2021-07-25,Fairfield (C),16
246,2021-07-25,Georges River (A),6
247,2021-07-25,Liverpool (C),11
248,2021-07-25,Parramatta (C),10
249,2021-07-26,Blacktown (C),15
250,2021-07-26,Campbelltown (C) (NSW),12
251,2021-07-26,Canterbury-Bankstown (A),29
252,2021-07-26,Cumberland (A),15
253,2021-07-26,Fairfield (C),27
254,2021-07-26,Georges River (A),3
255,2021-07-26,Liverpool (C),8
256,2021-07-26,Parramatta (C),9
257,2021-07-27,Blacktown (C),24
258,2021-07-27,Campbelltown (C) (NSW),9
259,2021-07-27,Canterbury-Bankstown (A),32
260,2021-07-27,Cumberland (A),7
261,2021-07-27,Fairfield (C),34
262,2021-07-27,Georges River (A),5
263,2021-07-27,Liverpool (C),15
264,2021-07-27,Parramatta (C),2
265,2021-07-28,Blacktown (C),14
266,2021-07-28,Campbelltown (C) (NSW),11
267,2021-07-28,Canterbury-Bankstown (A),66
