,date,name,value
684,2021-09-18,Cumberland (A),136
685,2021-09-18,Fairfield (C),59
686,2021-09-18,Georges River (A),32
687,2021-09-18,Liverpool (C),81
688,2021-09-18,Parramatta (C),29
689,2021-09-19,Blacktown (C),106
690,2021-09-19,Campbelltown (C) (NSW),28
691,2021-09-19,Canterbury-Bankstown (A),137
692,2021-09-19,Cumberland (A),72
693,2021-09-19,Fairfield (C),52
694,2021-09-19,Georges River (A),14
695,2021-09-19,Liverpool (C),73
696,2021-09-19,Parramatta (C),23
697,2021-09-20,Blacktown (C),111
698,2021-09-20,Campbelltown (C) (NSW),39
699,2021-09-20,Canterbury-Bankstown (A),169
700,2021-09-20,Cumberland (A),105
701,2021-09-20,Fairfield (C),52
702,2021-09-20,Georges River (A),22
703,2021-09-20,Liverpool (C),104
704,2021-09-20,Parramatta (C),10
705,2021-09-21,Blacktown (C),96
706,2021-09-21,Campbelltown (C) (NSW),52
707,2021-09-21,Canterbury-Bankstown (A),180
708,2021-09-21,Cumberland (A),86
709,2021-09-21,Fairfield (C),69
710,2021-09-21,Georges River (A),12
711,2021-09-21,Liverpool (C),115
712,2021-09-21,Parramatta (C),28
713,2021-09-22,Blacktown (C),98
714,2021-09-22,Campbelltown (C) (NSW),41
715,2021-09-22,Canterbury-Bankstown (A),124
716,2021-09-22,Cumberland (A),88
717,2021-09-22,Fairfield (C),54
718,2021-09-22,Georges River (A),25
719,2021-09-22,Liverpool (C),104
720,2021-09-22,Parramatta (C),33
721,2021-09-23,Blacktown (C),107
722,2021-09-23,Campbelltown (C) (NSW),32
723,2021-09-23,Canterbury-Bankstown (A),114
724,2021-09-23,Cumberland (A),64
725,2021-09-23,Fairfield (C),43
726,2021-09-23,Georges River (A),16
727,2021-09-23,Liverpool (C),63
728,2021-09-23,Parramatta (C),22
729,2021-09-24,Blacktown (C),89
730,2021-09-24,Campbelltown (C) (NSW),43
731,2021-09-24,Canterbury-Bankstown (A),132
732,2021-09-24,Cumberland (A),86
733,2021-09-24,Fairfield (C),67
734,2021-09-24,Georges River (A),17
735,2021-09-24,Liverpool (C),93
736,2021-09-24,Parramatta (C),23
737,2021-09-25,Blacktown (C),94
738,2021-09-25,Campbelltown (C) (NSW),40
739,2021-09-25,Canterbury-Bankstown (A),95
740,2021-09-25,Cumberland (A),81
741,2021-09-25,Fairfield (C),60
742,2021-09-25,Georges River (A),17
743,2021-09-25,Liverpool (C),61
744,2021-09-25,Parramatta (C),14
745,2021-09-26,Blacktown (C),66
746,2021-09-26,Campbelltown (C) (NSW),43
747,2021-09-26,Canterbury-Bankstown (A),105
748,2021-09-26,Cumberland (A),67
749,2021-09-26,Fairfield (C),57
750,2021-09-26,Georges River (A),15
751,2021-09-26,Liverpool (C),66
752,2021-09-26,Parramatta (C),16
753,2021-09-27,Blacktown (C),59
754,2021-09-27,Campbelltown (C) (NSW),49
755,2021-09-27,Canterbury-Bankstown (A),107
756,2021-09-27,Cumberland (A),69
757,2021-09-27,Fairfield (C),36
758,2021-09-27,Georges River (A),14
759,2021-09-27,Liverpool (C),61
760,2021-09-27,Parramatta (C),27
761,2021-09-28,Blacktown (C),84
762,2021-09-28,Campbelltown (C) (NSW),60
763,2021-09-28,Canterbury-Bankstown (A),100
764,2021-09-28,Cumberland (A),73
765,2021-09-28,Fairfield (C),40
766,2021-09-28,Georges River (A),7
767,2021-09-28,Liverpool (C),57
768,2021-09-28,Parramatta (C),16
769,2021-09-29,Blacktown (C),92
770,2021-09-29,Campbelltown (C) (NSW),64
771,2021-09-29,Canterbury-Bankstown (A),93
772,2021-09-29,Cumberland (A),72
773,2021-09-29,Fairfield (C),45
774,2021-09-29,Georges River (A),14
775,2021-09-29,Liverpool (C),50
776,2021-09-29,Parramatta (C),14
777,2021-09-30,Blacktown (C),66
778,2021-09-30,Campbelltown (C) (NSW),41
779,2021-09-30,Canterbury-Bankstown (A),76
780,2021-09-30,Cumberland (A),78
781,2021-09-30,Fairfield (C),28
782,2021-09-30,Georges River (A),11
783,2021-09-30,Liverpool (C),53
784,2021-09-30,Parramatta (C),12
785,2021-10-01,Blacktown (C),75
786,2021-10-01,Campbelltown (C) (NSW),56
787,2021-10-01,Canterbury-Bankstown (A),87
788,2021-10-01,Cumberland (A),56
789,2021-10-01,Fairfield (C),26
790,2021-10-01,Georges River (A),20
791,2021-10-01,Liverpool (C),65
792,2021-10-01,Parramatta (C),19
793,2021-10-02,Blacktown (C),60
794,2021-10-02,Campbelltown (C) (NSW),37
795,2021-10-02,Canterbury-Bankstown (A),68
796,2021-10-02,Cumberland (A),33
797,2021-10-02,Fairfield (C),22
798,2021-10-02,Georges River (A),10
799,2021-10-02,Liverpool (C),40
800,2021-10-02,Parramatta (C),7
801,2021-10-03,Blacktown (C),56
802,2021-10-03,Campbelltown (C) (NSW),33
803,2021-10-03,Canterbury-Bankstown (A),62
804,2021-10-03,Cumberland (A),45
805,2021-10-03,Fairfield (C),24
806,2021-10-03,Georges River (A),16
807,2021-10-03,Liverpool (C),48
808,2021-10-03,Parramatta (C),9
809,2021-10-04,Blacktown (C),58
810,2021-10-04,Campbelltown (C) (NSW),42
811,2021-10-04,Canterbury-Bankstown (A),64
812,2021-10-04,Cumberland (A),33
813,2021-10-04,Fairfield (C),13
814,2021-10-04,Georges River (A),21
815,2021-10-04,Liverpool (C),64
816,2021-10-04,Parramatta (C),3
817,2021-10-05,Blacktown (C),52
818,2021-10-05,Campbelltown (C) (NSW),38
819,2021-10-05,Canterbury-Bankstown (A),57
820,2021-10-05,Cumberland (A),32
821,2021-10-05,Fairfield (C),13
822,2021-10-05,Georges River (A),15
823,2021-10-05,Liverpool (C),41
824,2021-10-05,Parramatta (C),5
825,2021-10-06,Blacktown (C),58
826,2021-10-06,Campbelltown (C) (NSW),23
827,2021-10-06,Canterbury-Bankstown (A),79
828,2021-10-06,Cumberland (A),43
829,2021-10-06,Fairfield (C),27
830,2021-10-06,Georges River (A),11
831,2021-10-06,Liverpool (C),34
832,2021-10-06,Parramatta (C),6
833,2021-10-07,Blacktown (C),57
834,2021-10-07,Campbelltown (C) (NSW),25
835,2021-10-07,Canterbury-Bankstown (A),77
836,2021-10-07,Cumberland (A),48
837,2021-10-07,Fairfield (C),28
838,2021-10-07,Georges River (A),13
839,2021-10-07,Liverpool (C),31
840,2021-10-07,Parramatta (C),6
841,2021-10-08,Blacktown (C),30
842,2021-10-08,Campbelltown (C) (NSW),30
843,2021-10-08,Canterbury-Bankstown (A),68
844,2021-10-08,Cumberland (A),24
845,2021-10-08,Fairfield (C),18
846,2021-10-08,Georges River (A),9
847,2021-10-08,Liverpool (C),25
848,2021-10-08,Parramatta (C),1
849,2021-10-09,Blacktown (C),39
850,2021-10-09,Campbelltown (C) (NSW),33
851,2021-10-09,Canterbury-Bankstown (A),41
852,2021-10-09,Cumberland (A),34
853,2021-10-09,Fairfield (C),20
854,2021-10-09,Georges River (A),6
855,2021-10-09,Liverpool (C),28
856,2021-10-09,Parramatta (C),3
857,2021-10-10,Blacktown (C),37
858,2021-10-10,Campbelltown (C) (NSW),20
859,2021-10-10,Canterbury-Bankstown (A),50
860,2021-10-10,Cumberland (A),46
861,2021-10-10,Fairfield (C),20
862,2021-10-10,Georges River (A),13
863,2021-10-10,Liverpool (C),21
864,2021-10-10,Parramatta (C),4
865,2021-10-11,Blacktown (C),21
866,2021-10-11,Campbelltown (C) (NSW),26
867,2021-10-11,Canterbury-Bankstown (A),39
868,2021-10-11,Cumberland (A),26
869,2021-10-11,Fairfield (C),22
870,2021-10-11,Georges River (A),4
871,2021-10-11,Liverpool (C),22
872,2021-10-11,Parramatta (C),10
873,2021-10-12,Blacktown (C),37
874,2021-10-12,Campbelltown (C) (NSW),25
875,2021-10-12,Canterbury-Bankstown (A),57
876,2021-10-12,Cumberland (A),30
877,2021-10-12,Fairfield (C),19
878,2021-10-12,Georges River (A),6
879,2021-10-12,Liverpool (C),27
880,2021-10-12,Parramatta (C),5
881,2021-10-13,Blacktown (C),16
882,2021-10-13,Campbelltown (C) (NSW),14
883,2021-10-13,Canterbury-Bankstown (A),47
884,2021-10-13,Cumberland (A),37
885,2021-10-13,Fairfield (C),10
886,2021-10-13,Georges River (A),13
887,2021-10-13,Liverpool (C),17
888,2021-10-13,Parramatta (C),7
889,2021-10-14,Blacktown (C),27
890,2021-10-14,Campbelltown (C) (NSW),16
891,2021-10-14,Canterbury-Bankstown (A),41
892,2021-10-14,Cumberland (A),26
893,2021-10-14,Fairfield (C),25
894,2021-10-14,Georges River (A),14
895,2021-10-14,Liverpool (C),31
896,2021-10-14,Parramatta (C),7
897,2021-10-15,Blacktown (C),18
898,2021-10-15,Campbelltown (C) (NSW),11
899,2021-10-15,Canterbury-Bankstown (A),33
900,2021-10-15,Cumberland (A),27
901,2021-10-15,Fairfield (C),10
902,2021-10-15,Georges River (A),5
903,2021-10-15,Liverpool (C),26
904,2021-10-15,Parramatta (C),2
905,2021-10-16,Blacktown (C),10
906,2021-10-16,Campbelltown (C) (NSW),12
907,2021-10-16,Canterbury-Bankstown (A),30
908,2021-10-16,Cumberland (A),21
909,2021-10-16,Fairfield (C),23
910,2021-10-16,Georges River (A),4
911,2021-10-16,Liverpool (C),26
912,2021-10-16,Parramatta (C),3
913,2021-10-17,Blacktown (C),27
914,2021-10-17,Campbelltown (C) (NSW),9
915,2021-10-17,Canterbury-Bankstown (A),29
916,2021-10-17,Cumberland (A),13
917,2021-10-17,Fairfield (C),10
918,2021-10-17,Georges River (A),3
919,2021-10-17,Liverpool (C),28
920,2021-10-17,Parramatta (C),4
921,2021-10-18,Blacktown (C),7
922,2021-10-18,Campbelltown (C) (NSW),8
923,2021-10-18,Canterbury-Bankstown (A),26
924,2021-10-18,Cumberland (A),27
925,2021-10-18,Fairfield (C),9
926,2021-10-18,Georges River (A),8
927,2021-10-18,Liverpool (C),19
928,2021-10-18,Parramatta (C),5
929,2021-10-19,Blacktown (C),18
930,2021-10-19,Campbelltown (C) (NSW),7
931,2021-10-19,Canterbury-Bankstown (A),37
932,2021-10-19,Cumberland (A),21
933,2021-10-19,Fairfield (C),26
934,2021-10-19,Georges River (A),4
935,2021-10-19,Liverpool (C),18
936,2021-10-19,Parramatta (C),7
937,2021-10-20,Blacktown (C),9
938,2021-10-20,Campbelltown (C) (NSW),7
939,2021-10-20,Canterbury-Bankstown (A),29
940,2021-10-20,Cumberland (A),9
941,2021-10-20,Fairfield (C),10
942,2021-10-20,Georges River (A),3
943,2021-10-20,Liverpool (C),31
944,2021-10-20,Parramatta (C),4
945,2021-10-21,Blacktown (C),16
946,2021-10-21,Campbelltown (C) (NSW),17
947,2021-10-21,Canterbury-Bankstown (A),21
948,2021-10-21,Cumberland (A),19
949,2021-10-21,Fairfield (C),13
950,2021-10-21,Georges River (A),3
951,2021-10-21,Liverpool (C),30
952,2021-10-21,Parramatta (C),1
953,2021-10-22,Blacktown (C),17
954,2021-10-22,Campbelltown (C) (NSW),18
955,2021-10-22,Canterbury-Bankstown (A),21
956,2021-10-22,Cumberland (A),11
957,2021-10-22,Fairfield (C),2
958,2021-10-22,Georges River (A),1
959,2021-10-22,Liverpool (C),21
960,2021-10-22,Parramatta (C),3
961,2021-10-23,Blacktown (C),7
962,2021-10-23,Campbelltown (C) (NSW),16
963,2021-10-23,Canterbury-Bankstown (A),15
964,2021-10-23,Cumberland (A),13
965,2021-10-23,Fairfield (C),7
966,2021-10-23,Georges River (A),1
967,2021-10-23,Liverpool (C),15
968,2021-10-24,Blacktown (C),15
969,2021-10-24,Campbelltown (C) (NSW),11
970,2021-10-24,Canterbury-Bankstown (A),17
971,2021-10-24,Cumberland (A),10
972,2021-10-24,Fairfield (C),13
973,2021-10-24,Georges River (A),4
974,2021-10-24,Liverpool (C),15
975,2021-10-25,Blacktown (C),9
976,2021-10-25,Campbelltown (C) (NSW),16
977,2021-10-25,Canterbury-Bankstown (A),16
978,2021-10-25,Cumberland (A),12
979,2021-10-25,Fairfield (C),2
980,2021-10-25,Georges River (A),1
981,2021-10-25,Liverpool (C),10
982,2021-10-25,Parramatta (C),2
983,2021-10-26,Blacktown (C),7
984,2021-10-26,Campbelltown (C) (NSW),10
985,2021-10-26,Canterbury-Bankstown (A),16
986,2021-10-26,Cumberland (A),4
987,2021-10-26,Fairfield (C),7
988,2021-10-26,Georges River (A),2
989,2021-10-26,Liverpool (C),9
990,2021-10-26,Parramatta (C),3
991,2021-10-27,Blacktown (C),6
992,2021-10-27,Campbelltown (C) (NSW),14
993,2021-10-27,Canterbury-Bankstown (A),28
994,2021-10-27,Cumberland (A),11
995,2021-10-27,Fairfield (C),7
996,2021-10-27,Georges River (A),3
997,2021-10-27,Liverpool (C),7
998,2021-10-27,Parramatta (C),2
999,2021-10-28,Blacktown (C),14
1000,2021-10-28,Campbelltown (C) (NSW),12
1001,2021-10-28,Canterbury-Bankstown (A),17
1002,2021-10-28,Cumberland (A),3
1003,2021-10-28,Fairfield (C),4
1004,2021-10-28,Georges River (A),2
1005,2021-10-28,Liverpool (C),12
1006,2021-10-28,Parramatta (C),4
1007,2021-10-29,Blacktown (C),2
1008,2021-10-29,Campbelltown (C) (NSW),7
1009,2021-10-29,Canterbury-Bankstown (A),22
1010,2021-10-29,Cumberland (A),7
1011,2021-10-29,Fairfield (C),4
1012,2021-10-29,Georges River (A),3
1013,2021-10-29,Liverpool (C),4
1014,2021-10-29,Parramatta (C),4
1015,2021-10-30,Blacktown (C),1
1016,2021-10-30,Campbelltown (C) (NSW),5
1017,2021-10-30,Canterbury-Bankstown (A),4
1018,2021-10-30,Cumberland (A),6
1019,2021-10-30,Fairfield (C),5
1020,2021-10-30,Georges River (A),3
1021,2021-10-30,Liverpool (C),12
1022,2021-10-30,Parramatta (C),4
1023,2021-10-31,Campbelltown (C) (NSW),5
1024,2021-10-31,Canterbury-Bankstown (A),10
1025,2021-10-31,Cumberland (A),1
1026,2021-10-31,Fairfield (C),3
1027,2021-10-31,Liverpool (C),4
1028,2021-10-31,Parramatta (C),6
1029,2021-11-01,Blacktown (C),3
1030,2021-11-01,Campbelltown (C) (NSW),1
1031,2021-11-01,Canterbury-Bankstown (A),19
1032,2021-11-01,Cumberland (A),2
1033,2021-11-01,Fairfield (C),2
1034,2021-11-01,Georges River (A),1
1035,2021-11-01,Liverpool (C),2
1036,2021-11-01,Parramatta (C),5
1037,2021-11-02,Blacktown (C),6
1038,2021-11-02,Campbelltown (C) (NSW),5
1039,2021-11-02,Canterbury-Bankstown (A),20
1040,2021-11-02,Cumberland (A),4
1041,2021-11-02,Fairfield (C),4
1042,2021-11-02,Georges River (A),1
1043,2021-11-02,Liverpool (C),8
1044,2021-11-02,Parramatta (C),6
1045,2021-11-03,Blacktown (C),5
1046,2021-11-03,Campbelltown (C) (NSW),18
1047,2021-11-03,Canterbury-Bankstown (A),23
1048,2021-11-03,Cumberland (A),6
1049,2021-11-03,Fairfield (C),6
1050,2021-11-03,Georges River (A),2
1051,2021-11-03,Liverpool (C),16
1052,2021-11-03,Parramatta (C),4
1053,2021-11-04,Blacktown (C),4
1054,2021-11-04,Campbelltown (C) (NSW),5
1055,2021-11-04,Canterbury-Bankstown (A),16
1056,2021-11-04,Fairfield (C),10
1057,2021-11-04,Liverpool (C),11
1058,2021-11-04,Parramatta (C),5
1059,2021-11-05,Blacktown (C),2
1060,2021-11-05,Campbelltown (C) (NSW),13
1061,2021-11-05,Canterbury-Bankstown (A),25
1062,2021-11-05,Cumberland (A),8
1063,2021-11-05,Fairfield (C),6
1064,2021-11-05,Liverpool (C),3
1065,2021-11-05,Parramatta (C),2
1066,2021-11-06,Blacktown (C),5
1067,2021-11-06,Campbelltown (C) (NSW),8
1068,2021-11-06,Canterbury-Bankstown (A),16
1069,2021-11-06,Cumberland (A),9
1070,2021-11-06,Fairfield (C),11
1071,2021-11-06,Georges River (A),2
1072,2021-11-06,Liverpool (C),11
1073,2021-11-06,Parramatta (C),1
1074,2021-11-07,Blacktown (C),6
1075,2021-11-07,Campbelltown (C) (NSW),5
1076,2021-11-07,Canterbury-Bankstown (A),24
1077,2021-11-07,Cumberland (A),5
1078,2021-11-07,Fairfield (C),6
1079,2021-11-07,Georges River (A),4
1080,2021-11-07,Liverpool (C),7
1081,2021-11-07,Parramatta (C),2
1082,2021-11-08,Blacktown (C),13
1083,2021-11-08,Campbelltown (C) (NSW),4
1084,2021-11-08,Canterbury-Bankstown (A),14
1085,2021-11-08,Cumberland (A),6
1086,2021-11-08,Fairfield (C),5
1087,2021-11-08,Georges River (A),3
1088,2021-11-08,Liverpool (C),7
1089,2021-11-08,Parramatta (C),3
1090,2021-11-09,Blacktown (C),9
1091,2021-11-09,Campbelltown (C) (NSW),7
1092,2021-11-09,Canterbury-Bankstown (A),33
1093,2021-11-09,Cumberland (A),6
1094,2021-11-09,Fairfield (C),8
1095,2021-11-09,Georges River (A),1
1096,2021-11-09,Liverpool (C),2
1097,2021-11-09,Parramatta (C),2
1098,2021-11-10,Blacktown (C),11
1099,2021-11-10,Canterbury-Bankstown (A),46
1100,2021-11-10,Cumberland (A),12
1101,2021-11-10,Fairfield (C),16
1102,2021-11-10,Georges River (A),1
1103,2021-11-10,Liverpool (C),9
1104,2021-11-10,Parramatta (C),5
1105,2021-11-11,Blacktown (C),8
1106,2021-11-11,Campbelltown (C) (NSW),3
1107,2021-11-11,Canterbury-Bankstown (A),54
1108,2021-11-11,Cumberland (A),19
1109,2021-11-11,Fairfield (C),7
1110,2021-11-11,Georges River (A),2
1111,2021-11-11,Liverpool (C),11
1112,2021-11-11,Parramatta (C),2
1113,2021-11-12,Blacktown (C),14
1114,2021-11-12,Campbelltown (C) (NSW),1
1115,2021-11-12,Canterbury-Bankstown (A),52
1116,2021-11-12,Cumberland (A),15
1117,2021-11-12,Fairfield (C),8
1118,2021-11-12,Georges River (A),2
1119,2021-11-12,Liverpool (C),14
1120,2021-11-12,Parramatta (C),10
1121,2021-11-13,Blacktown (C),4
1122,2021-11-13,Canterbury-Bankstown (A),30
1123,2021-11-13,Cumberland (A),16
1124,2021-11-13,Fairfield (C),13
1125,2021-11-13,Liverpool (C),13
1126,2021-11-13,Parramatta (C),1
1127,2021-11-14,Blacktown (C),6
1128,2021-11-14,Campbelltown (C) (NSW),1
1129,2021-11-14,Canterbury-Bankstown (A),25
1130,2021-11-14,Cumberland (A),13
1131,2021-11-14,Fairfield (C),11
1132,2021-11-14,Georges River (A),3
1133,2021-11-14,Liverpool (C),9
1134,2021-11-14,Parramatta (C),8
1135,2021-11-15,Blacktown (C),6
1136,2021-11-15,Campbelltown (C) (NSW),3
1137,2021-11-15,Canterbury-Bankstown (A),33
1138,2021-11-15,Cumberland (A),17
1139,2021-11-15,Fairfield (C),13
1140,2021-11-15,Georges River (A),4
1141,2021-11-15,Liverpool (C),11
1142,2021-11-15,Parramatta (C),5
1143,2021-11-16,Blacktown (C),10
1144,2021-11-16,Campbelltown (C) (NSW),3
1145,2021-11-16,Canterbury-Bankstown (A),45
1146,2021-11-16,Cumberland (A),21
1147,2021-11-16,Fairfield (C),19
1148,2021-11-16,Georges River (A),2
1149,2021-11-16,Liverpool (C),9
1150,2021-11-16,Parramatta (C),3
1151,2021-11-17,Blacktown (C),16
1152,2021-11-17,Campbelltown (C) (NSW),11
1153,2021-11-17,Canterbury-Bankstown (A),24
1154,2021-11-17,Cumberland (A),32
1155,2021-11-17,Fairfield (C),8
1156,2021-11-17,Liverpool (C),10
1157,2021-11-17,Parramatta (C),7
1158,2021-11-18,Blacktown (C),8
1159,2021-11-18,Campbelltown (C) (NSW),1
1160,2021-11-18,Canterbury-Bankstown (A),37
1161,2021-11-18,Cumberland (A),14
1162,2021-11-18,Fairfield (C),6
1163,2021-11-18,Georges River (A),1
1164,2021-11-18,Liverpool (C),12
1165,2021-11-18,Parramatta (C),4
1166,2021-11-19,Blacktown (C),6
1167,2021-11-19,Campbelltown (C) (NSW),2
1168,2021-11-19,Canterbury-Bankstown (A),26
1169,2021-11-19,Cumberland (A),19
1170,2021-11-19,Fairfield (C),4
1171,2021-11-19,Georges River (A),4
1172,2021-11-19,Liverpool (C),6
1173,2021-11-19,Parramatta (C),1
1174,2021-11-20,Blacktown (C),3
1175,2021-11-20,Campbelltown (C) (NSW),2
1176,2021-11-20,Canterbury-Bankstown (A),22
1177,2021-11-20,Cumberland (A),16
1178,2021-11-20,Fairfield (C),13
1179,2021-11-20,Georges River (A),1
1180,2021-11-20,Liverpool (C),4
1181,2021-11-20,Parramatta (C),7
1182,2021-11-21,Blacktown (C),7
1183,2021-11-21,Campbelltown (C) (NSW),5
1184,2021-11-21,Canterbury-Bankstown (A),24
1185,2021-11-21,Cumberland (A),22
1186,2021-11-21,Fairfield (C),6
1187,2021-11-21,Georges River (A),3
1188,2021-11-21,Liverpool (C),6
1189,2021-11-21,Parramatta (C),2
1190,2021-11-22,Blacktown (C),7
1191,2021-11-22,Campbelltown (C) (NSW),5
1192,2021-11-22,Canterbury-Bankstown (A),17
1193,2021-11-22,Cumberland (A),11
1194,2021-11-22,Fairfield (C),8
1195,2021-11-22,Georges River (A),1
1196,2021-11-22,Liverpool (C),18
1197,2021-11-22,Parramatta (C),3
1198,2021-11-23,Blacktown (C),10
1199,2021-11-23,Campbelltown (C) (NSW),4
1200,2021-11-23,Canterbury-Bankstown (A),24
1201,2021-11-23,Cumberland (A),23
1202,2021-11-23,Fairfield (C),10
1203,2021-11-23,Georges River (A),2
1204,2021-11-23,Liverpool (C),13
1205,2021-11-23,Parramatta (C),22
1206,2021-11-24,Blacktown (C),9
1207,2021-11-24,Campbelltown (C) (NSW),7
1208,2021-11-24,Canterbury-Bankstown (A),15
1209,2021-11-24,Cumberland (A),18
1210,2021-11-24,Fairfield (C),15
1211,2021-11-24,Georges River (A),5
1212,2021-11-24,Liverpool (C),21
1213,2021-11-24,Parramatta (C),8
1214,2021-11-25,Blacktown (C),8
1215,2021-11-25,Campbelltown (C) (NSW),10
1216,2021-11-25,Canterbury-Bankstown (A),33
1217,2021-11-25,Cumberland (A),13
1218,2021-11-25,Fairfield (C),10
1219,2021-11-25,Georges River (A),2
1220,2021-11-25,Liverpool (C),23
1221,2021-11-25,Parramatta (C),10
1222,2021-11-26,Blacktown (C),9
1223,2021-11-26,Campbelltown (C) (NSW),3
1224,2021-11-26,Canterbury-Bankstown (A),22
1225,2021-11-26,Cumberland (A),15
1226,2021-11-26,Fairfield (C),25
1227,2021-11-26,Georges River (A),5
1228,2021-11-26,Liverpool (C),13
1229,2021-11-26,Parramatta (C),6
1230,2021-11-27,Blacktown (C),6
1231,2021-11-27,Campbelltown (C) (NSW),2
1232,2021-11-27,Canterbury-Bankstown (A),13
1233,2021-11-27,Cumberland (A),6
1234,2021-11-27,Fairfield (C),15
1235,2021-11-27,Georges River (A),4
1236,2021-11-27,Liverpool (C),15
1237,2021-11-27,Parramatta (C),7
1238,2021-11-28,Blacktown (C),6
1239,2021-11-28,Campbelltown (C) (NSW),2
1240,2021-11-28,Canterbury-Bankstown (A),18
1241,2021-11-28,Cumberland (A),8
1242,2021-11-28,Fairfield (C),6
1243,2021-11-28,Georges River (A),2
1244,2021-11-28,Liverpool (C),13
1245,2021-11-28,Parramatta (C),8
1246,2021-11-29,Blacktown (C),3
1247,2021-11-29,Campbelltown (C) (NSW),1
1248,2021-11-29,Canterbury-Bankstown (A),17
1249,2021-11-29,Cumberland (A),8
1250,2021-11-29,Fairfield (C),11
1251,2021-11-29,Georges River (A),2
1252,2021-11-29,Liverpool (C),15
1253,2021-11-30,Blacktown (C),6
1254,2021-11-30,Campbelltown (C) (NSW),7
1255,2021-11-30,Canterbury-Bankstown (A),35
1256,2021-11-30,Cumberland (A),24
1257,2021-11-30,Fairfield (C),20
1258,2021-11-30,Georges River (A),6
1259,2021-11-30,Liverpool (C),17
1260,2021-11-30,Parramatta (C),10
1261,2021-12-01,Blacktown (C),25
1262,2021-12-01,Campbelltown (C) (NSW),2
1263,2021-12-01,Canterbury-Bankstown (A),27
1264,2021-12-01,Cumberland (A),27
1265,2021-12-01,Fairfield (C),25
1266,2021-12-01,Georges River (A),4
1267,2021-12-01,Liverpool (C),26
1268,2021-12-01,Parramatta (C),9
1269,2021-12-02,Blacktown (C),10
1270,2021-12-02,Campbelltown (C) (NSW),10
1271,2021-12-02,Canterbury-Bankstown (A),53
1272,2021-12-02,Cumberland (A),29
1273,2021-12-02,Fairfield (C),19
1274,2021-12-02,Georges River (A),4
1275,2021-12-02,Liverpool (C),35
1276,2021-12-02,Parramatta (C),12
1277,2021-12-03,Blacktown (C),19
1278,2021-12-03,Campbelltown (C) (NSW),6
1279,2021-12-03,Canterbury-Bankstown (A),46
1280,2021-12-03,Cumberland (A),28
1281,2021-12-03,Fairfield (C),31
1282,2021-12-03,Georges River (A),8
1283,2021-12-03,Liverpool (C),12
1284,2021-12-03,Parramatta (C),10
1285,2021-12-04,Blacktown (C),16
1286,2021-12-04,Campbelltown (C) (NSW),5
1287,2021-12-04,Canterbury-Bankstown (A),64
1288,2021-12-04,Cumberland (A),18
1289,2021-12-04,Fairfield (C),17
1290,2021-12-04,Georges River (A),6
1291,2021-12-04,Liverpool (C),23
1292,2021-12-04,Parramatta (C),3
1293,2021-12-05,Blacktown (C),8
1294,2021-12-05,Campbelltown (C) (NSW),8
1295,2021-12-05,Canterbury-Bankstown (A),45
1296,2021-12-05,Cumberland (A),21
1297,2021-12-05,Fairfield (C),14
1298,2021-12-05,Liverpool (C),6
1299,2021-12-05,Parramatta (C),5
1300,2021-12-06,Blacktown (C),11
1301,2021-12-06,Campbelltown (C) (NSW),2
1302,2021-12-06,Canterbury-Bankstown (A),36
1303,2021-12-06,Cumberland (A),22
1304,2021-12-06,Fairfield (C),21
1305,2021-12-06,Georges River (A),6
1306,2021-12-06,Liverpool (C),8
1307,2021-12-06,Parramatta (C),9
1308,2021-12-07,Blacktown (C),31
1309,2021-12-07,Campbelltown (C) (NSW),10
1310,2021-12-07,Canterbury-Bankstown (A),60
1311,2021-12-07,Cumberland (A),21
1312,2021-12-07,Fairfield (C),33
1313,2021-12-07,Georges River (A),11
1314,2021-12-07,Liverpool (C),32
1315,2021-12-07,Parramatta (C),6
1316,2021-12-08,Blacktown (C),22
1317,2021-12-08,Campbelltown (C) (NSW),13
1318,2021-12-08,Canterbury-Bankstown (A),51
1319,2021-12-08,Cumberland (A),27
1320,2021-12-08,Fairfield (C),15
1321,2021-12-08,Georges River (A),15
1322,2021-12-08,Liverpool (C),27
1323,2021-12-08,Parramatta (C),10
1324,2021-12-09,Blacktown (C),30
1325,2021-12-09,Campbelltown (C) (NSW),10
1326,2021-12-09,Canterbury-Bankstown (A),59
1327,2021-12-09,Cumberland (A),55
1328,2021-12-09,Fairfield (C),36
1329,2021-12-09,Georges River (A),6
1330,2021-12-09,Liverpool (C),29
1331,2021-12-09,Parramatta (C),13
